Date,GLD,VNQ,XLE,XLF,XLK
2005-01-01,42.220001220703125,21.276914596557617,20.86444664001465,15.987648010253906,15.307324409484863
2005-02-01,43.529998779296875,21.95171546936035,24.365007400512695,15.880600929260254,15.33038330078125
2005-03-01,42.81999969482422,21.32217025756836,23.820484161376953,15.195488929748535,15.030688285827637
2005-04-01,43.349998474121094,22.821889877319336,22.60641098022461,15.30329418182373,14.500472068786621
2005-05-01,41.650001525878906,23.625497817993164,23.23637580871582,15.755294799804688,15.507123947143555
2005-06-01,43.439998626708984,24.441600799560547,24.78061866760254,15.857525825500488,15.307324409484863
2005-07-01,42.81999969482422,26.4755802154541,26.61969757080078,16.20067024230957,16.1756649017334
2005-08-01,43.400001525878906,25.40207290649414,28.31976890563965,15.935439109802246,16.021976470947266
2005-09-01,46.70000076293945,25.44838523864746,30.014265060424805,15.978741645812988,16.060401916503906
2005-10-01,46.400001525878906,25.00067901611328,27.37999725341797,16.561819076538086,15.691547393798828
2005-11-01,49.099998474121094,26.039722442626953,27.789411544799805,17.351247787475586,16.68283462524414
2005-12-01,51.58000183105469,25.362661361694336,28.21566390991211,17.242359161376953,16.060401916503906
2006-01-01,56.70000076293945,28.009540557861328,32.42245101928711,17.508209228515625,16.712034225463867
2006-02-01,56.06999969482422,28.529937744140625,29.43097496032715,17.880842208862305,16.750709533691406
2006-03-01,58.099998474121094,29.70191764831543,30.589323043823242,17.837003707885742,17.129825592041016
2006-04-01,65.08999633789062,28.859073638916016,32.22524642944336,18.709468841552734,16.905452728271484
2006-05-01,64.2300033569336,28.08051872253418,31.32852554321289,18.004289627075195,15.806800842285156
2006-06-01,61.22999954223633,29.162565231323242,32.00529098510742,17.816978454589844,15.729413986206055
2006-07-01,63.15999984741211,30.620529174804688,33.19921112060547,18.331087112426758,15.319355964660645
2006-08-01,62.290000915527344,31.68743896484375,31.512357711791992,18.547203063964844,16.394805908203125
2006-09-01,59.470001220703125,32.00752639770508,30.255706787109375,19.184467315673828,17.021501541137695
